dates,producto,precio_mean
2014-03-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.26
2014-03-07,PAPA HUAMANTANGA,1.24
2014-03-07,PAPA PERUANITA (INJERTO),1.48
2014-03-08,PAPA AMARILLA,1.8
2014-03-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.26
2014-03-08,PAPA HUAMANTANGA,1.26
2014-03-08,PAPA PERUANITA (INJERTO),1.5
2014-03-09,PAPA AMARILLA,1.8
2014-03-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2014-03-09,PAPA HUAMANTANGA,1.25
2014-03-09,PAPA PERUANITA (INJERTO),1.48
2014-03-10,PAPA AMARILLA,1.78
2014-03-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2014-03-10,PAPA HUAMANTANGA,1.25
2014-03-10,PAPA PERUANITA (INJERTO),1.46
2014-03-11,PAPA AMARILLA,1.8
2014-03-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.11
2014-03-11,PAPA HUAMANTANGA,1.24
2014-03-11,PAPA PERUANITA (INJERTO),1.45
2014-03-12,PAPA AMARILLA,1.88
2014-03-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.06
2014-03-12,PAPA HUAMANTANGA,1.24
2014-03-12,PAPA PERUANITA (INJERTO),1.45
2014-03-13,PAPA AMARILLA,1.8
2014-03-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-03-13,PAPA HUAMANTANGA,1.24
2014-03-13,PAPA PERUANITA (INJERTO),1.54
2014-03-14,PAPA AMARILLA,1.8
2014-03-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-03-14,PAPA HUAMANTANGA,1.26
2014-03-14,PAPA PERUANITA (INJERTO),1.55
2014-03-15,PAPA AMARILLA,1.8
2014-03-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.23
2014-03-15,PAPA HUAMANTANGA,1.26
2014-03-15,PAPA PERUANITA (INJERTO),1.55
2014-03-16,PAPA AMARILLA,1.75
2014-03-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2014-03-16,PAPA HUAMANTANGA,1.25
2014-03-16,PAPA PERUANITA (INJERTO),1.55
2014-03-17,PAPA AMARILLA,1.7
2014-03-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2014-03-17,PAPA HUAMANTANGA,1.26
2014-03-17,PAPA PERUANITA (INJERTO),1.54
2014-03-18,PAPA AMARILLA,1.68
2014-03-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.19
2014-03-18,PAPA HUAMANTANGA,1.26
2014-03-18,PAPA PERUANITA (INJERTO),1.45
2014-03-19,PAPA AMARILLA,1.58
2014-03-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2014-03-19,PAPA HUAMANTANGA,1.24
2014-03-19,PAPA PERUANITA (INJERTO),1.44
2014-03-20,PAPA AMARILLA,1.7
2014-03-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2014-03-20,PAPA HUAMANTANGA,1.26
2014-03-20,PAPA PERUANITA (INJERTO),1.41
2014-03-21,PAPA AMARILLA,1.68
2014-03-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-03-21,PAPA HUAMANTANGA,1.24
2014-03-21,PAPA PERUANITA (INJERTO),1.44
2014-03-22,PAPA AMARILLA,1.59
2014-03-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-03-22,PAPA HUAMANTANGA,1.25
2014-03-22,PAPA PERUANITA (INJERTO),1.48
2014-03-23,PAPA AMARILLA,1.7
2014-03-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-03-23,PAPA HUAMANTANGA,1.35
2014-03-23,PAPA PERUANITA (INJERTO),1.46
2014-03-24,PAPA AMARILLA,1.55
