dates,producto,precio_mean
2019-01-22,PAPA HUAMANTANGA,1.9
2019-01-22,PAPA PERUANITA (INJERTO),2.35
2019-01-23,PAPA AMARILLA,2.35
2019-01-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2019-01-23,PAPA HUAMANTANGA,1.75
2019-01-23,PAPA PERUANITA (INJERTO),2.23
2019-01-24,PAPA AMARILLA,2.28
2019-01-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2019-01-24,PAPA HUAMANTANGA,1.65
2019-01-24,PAPA PERUANITA (INJERTO),2.28
2019-01-25,PAPA AMARILLA,2.28
2019-01-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2019-01-25,PAPA HUAMANTANGA,1.65
2019-01-25,PAPA PERUANITA (INJERTO),2.1
2019-01-26,PAPA AMARILLA,2.35
2019-01-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2019-01-26,PAPA HUAMANTANGA,1.73
2019-01-26,PAPA PERUANITA (INJERTO),2.28
2019-01-27,PAPA AMARILLA,2.35
2019-01-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2019-01-27,PAPA HUAMANTANGA,1.73
2019-01-27,PAPA PERUANITA (INJERTO),2.28
2019-01-28,PAPA AMARILLA,2.3
2019-01-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.5
2019-01-28,PAPA HUAMANTANGA,1.7
2019-01-28,PAPA PERUANITA (INJERTO),1.93
2019-01-29,PAPA AMARILLA,2.15
2019-01-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.5
2019-01-29,PAPA HUAMANTANGA,1.5
2019-01-29,PAPA PERUANITA (INJERTO),2.05
2019-01-30,PAPA AMARILLA,1.9
2019-01-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2019-01-30,PAPA HUAMANTANGA,1.6
2019-01-30,PAPA PERUANITA (INJERTO),1.9
2019-01-31,PAPA AMARILLA,1.93
2019-01-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2019-01-31,PAPA HUAMANTANGA,1.55
2019-01-31,PAPA PERUANITA (INJERTO),1.93
2019-02-01,PAPA AMARILLA,2.1
2019-02-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.23
2019-02-01,PAPA HUAMANTANGA,1.65
2019-02-01,PAPA PERUANITA (INJERTO),2.05
2019-02-02,PAPA AMARILLA,2.03
2019-02-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2019-02-02,PAPA HUAMANTANGA,1.5
2019-02-02,PAPA PERUANITA (INJERTO),1.9
2019-02-03,PAPA AMARILLA,2.03
2019-02-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2019-02-03,PAPA HUAMANTANGA,1.5
2019-02-03,PAPA PERUANITA (INJERTO),1.9
2019-02-04,PAPA AMARILLA,2.03
2019-02-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2019-02-04,PAPA HUAMANTANGA,1.35
2019-02-04,PAPA PERUANITA (INJERTO),1.85
2019-02-05,PAPA AMARILLA,1.9
2019-02-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2019-02-05,PAPA HUAMANTANGA,1.35
