dates,producto,precio_mean
2014-02-12,PAPA BLANCA/VALLE/OTROS,0.64
2014-02-12,PAPA COLOR/VALLE/OTROS,0.66
2014-02-12,PAPA NEGRA ANDINA,0.61
2014-02-12,PAPA YUNGAY,0.5
2014-02-12,PAPA UNICA,0.68
2014-02-12,PAPA CANCHAN,0.65
2014-02-13,PAPA BLANCA/VALLE/OTROS,0.62
2014-02-13,PAPA COLOR/VALLE/OTROS,0.66
2014-02-13,PAPA NEGRA ANDINA,0.61
2014-02-13,PAPA YUNGAY,0.44
2014-02-13,PAPA UNICA,0.68
2014-02-13,PAPA CANCHAN,0.65
2014-02-14,PAPA BLANCA/VALLE/OTROS,0.62
2014-02-14,PAPA COLOR/VALLE/OTROS,0.66
2014-02-14,PAPA NEGRA ANDINA,0.62
2014-02-14,PAPA YUNGAY,0.46
2014-02-14,PAPA UNICA,0.67
2014-02-14,PAPA CANCHAN,0.65
2014-02-15,PAPA BLANCA/VALLE/OTROS,0.63
2014-02-15,PAPA COLOR/VALLE/OTROS,0.66
2014-02-15,PAPA NEGRA ANDINA,0.61
2014-02-15,PAPA YUNGAY,0.45
2014-02-15,PAPA UNICA,0.67
2014-02-15,PAPA CANCHAN,0.65
2014-02-16,PAPA BLANCA/VALLE/OTROS,0.62
2014-02-16,PAPA COLOR/VALLE/OTROS,0.65
2014-02-16,PAPA NEGRA ANDINA,0.6
2014-02-16,PAPA YUNGAY,0.46
2014-02-16,PAPA UNICA,0.67
2014-02-16,PAPA CANCHAN,0.64
2014-02-17,PAPA BLANCA/VALLE/OTROS,0.6
2014-02-17,PAPA COLOR/VALLE/OTROS,0.64
2014-02-17,PAPA NEGRA ANDINA,0.57
2014-02-17,PAPA YUNGAY,0.48
2014-02-17,PAPA UNICA,0.65
2014-02-17,PAPA CANCHAN,0.61
2014-02-18,PAPA BLANCA/VALLE/OTROS,0.59
2014-02-18,PAPA COLOR/VALLE/OTROS,0.66
2014-02-18,PAPA NEGRA ANDINA,0.59
2014-02-18,PAPA YUNGAY,0.44
2014-02-18,PAPA UNICA,0.66
2014-02-18,PAPA CANCHAN,0.65
2014-02-19,PAPA BLANCA/VALLE/OTROS,0.61
2014-02-19,PAPA COLOR/VALLE/OTROS,0.65
2014-02-19,PAPA NEGRA ANDINA,0.59
2014-02-19,PAPA YUNGAY,0.49
2014-02-19,PAPA UNICA,0.62
2014-02-19,PAPA CANCHAN,0.68
2014-02-20,PAPA BLANCA/VALLE/OTROS,0.63
2014-02-20,PAPA COLOR/VALLE/OTROS,0.65
2014-02-20,PAPA NEGRA ANDINA,0.6
2014-02-20,PAPA YUNGAY,0.49
2014-02-20,PAPA UNICA,0.65
2014-02-20,PAPA CANCHAN,0.65
2014-02-21,PAPA BLANCA/VALLE/OTROS,0.6
2014-02-21,PAPA COLOR/VALLE/OTROS,0.62
2014-02-21,PAPA NEGRA ANDINA,0.58
2014-02-21,PAPA YUNGAY,0.48
2014-02-21,PAPA UNICA,0.64
2014-02-21,PAPA CANCHAN,0.61
2014-02-22,PAPA BLANCA/VALLE/OTROS,0.62
2014-02-22,PAPA COLOR/VALLE/OTROS,0.65
2014-02-22,PAPA NEGRA ANDINA,0.6
2014-02-22,PAPA YUNGAY,0.47
2014-02-22,PAPA UNICA,0.63
2014-02-22,PAPA CANCHAN,0.67
2014-02-23,PAPA BLANCA/VALLE/OTROS,0.6
2014-02-23,PAPA COLOR/VALLE/OTROS,0.64
2014-02-23,PAPA NEGRA ANDINA,0.6
2014-02-23,PAPA YUNGAY,0.48
2014-02-23,PAPA UNICA,0.63
2014-02-23,PAPA CANCHAN,0.65
2014-02-24,PAPA BLANCA/VALLE/OTROS,0.58
2014-02-24,PAPA COLOR/VALLE/OTROS,0.63
2014-02-24,PAPA NEGRA ANDINA,0.59
2014-02-24,PAPA YUNGAY,0.48
2014-02-24,PAPA UNICA,0.64
2014-02-24,PAPA CANCHAN,0.63
